date,close,volume,open,high,low
16:00,98.47,"16,657,582",98.29,99.9,97
9/22/15,98.47,16694800,98.29,99.9,97
9/21/15,100.3,17868590,103.3,103.77,99.5568
9/18/15,102.62,21650810,102,104.36,100.71
9/17/15,104.21,25768300,103.67,107.5,101.83
9/16/15,104.08,27967180,99.7,104.48,99.33
9/15/15,99.16,22536440,95.22,99.65,93.61
9/14/15,95.69,15520270,96.84,97.91,94.33
9/11/15,97.51,17351030,98.57,100.85,97.23
9/10/15,99.48,21010380,99.42,100.85,96.78
9/9/15,99.18,35433880,96.51,102.79,95.52
9/8/15,94.95,43420420,102.08,102.5,93.55
9/4/15,98.79,24175260,98.05,99.928,97.34
9/3/15,101.06,29291720,102.69,104.17,100.11
9/2/15,105.44,39732710,109.31,109.5,100.3
9/1/15,105.79,35745230,109.35,111.24,103.82
8/31/15,115.03,16963370,115.24,117,113.76
8/28/15,117.63,20211990,116.35,119.35,115.88
8/27/15,117.66,36904220,114.94,118.25,113.02
8/26/15,110.13,36003580,107.15,110.28,102.02
8/25/15,101.52,37441020,107.75,107.88,101.5
8/24/15,96.88,59798140,88.75,109.63,85.5
8/21/15,103.96,33156230,106.2,110,102.751
8/20/15,112.49,27898760,119.8,121.45,111.34
8/19/15,122.06,10089710,123.5,123.7,121.5
8/18/15,124.05,9365646,125.26,126.749,123.55
8/17/15,125.36,9211682,123.14,125.7,122.59
8/14/15,123.39,8652710,124.96,125,123
8/13/15,123.73,15227460,120.99,125.73,119.34
8/12/15,120.51,13825250,121.47,122.45,118.66
8/11/15,122.74,11560300,120.01,123.76,120
8/10/15,123.03,13395230,126.09,126.5,121.51
8/7/15,123.52,17340440,126.42,126.6,121.3
8/6/15,126.45,24659910,126.29,128.85,122.04
8/5/15,123.71,26902730,125.62,129.29,122.705
8/4/15,121.15,29546660,113.15,122.79,113
8/3/15,112.56,10124570,114.6,114.6,111.78
7/31/15,114.31,16249740,111.95,115,111.15
7/30/15,111.56,14199340,106.4,111.9,105.4
7/29/15,107.08,6679819,106.83,107.75,105.4
7/28/15,106.9,11151030,107.29,107.94,103.88
7/27/15,106.43,11284860,107.79,109.86,106.25
7/24/15,109.34,8109471,111.55,111.68,108.9
7/23/15,110.1,8281009,110.91,112.18,109.84
7/22/15,111.5,10396820,112.14,113.88,110.5608
7/21/15,112.51,14022880,110.21,113.71,109.32
7/20/15,110.55,22649490,114.7,114.7,110.14
7/17/15,114.77,25093820,117.34,117.88,114.24
7/16/15,115.81,63003600,111.02,116.49,107.68
7/15/15,98.13,30004360,99.97,100.75,97.05
7/14/15,100.3714,19708205,101.2714,101.6357,99.6528
7/13/15,101.0871,33046443,98.0985,102.3085,98.0788
7/10/15,97.2285,21601306,97.5228,98.5028,96.9
7/9/15,95.7271,16683280,94.9,95.8457,94.2857
7/8/15,93.5071,12980307,93.4714,93.9957,92.2843
7/7/15,94.0914,21567594,95.0128,95.4271,92.6228
7/6/15,94.5714,11792449,93.4728,94.9285,93.34
7/2/15,94.0443,11046584,93.9985,94.1985,93.2143
7/1/15,93.6357,14671045,94.8057,95.2385,93.2185
6/30/15,93.8485,16855522,93.3571,94.3557,92.7857
6/29/15,92.2314,24551044,91.5057,92.9128,91.1171
6/26/15,93.0885,30249571,95.3,95.3143,93.0885
6/25/15,94.8914,41576043,95.4814,96,93.4585
6/24/15,96.9443,77076393,100.0143,100.8914,96.3971
6/23/15,97.3128,14465665,96.3357,97.39,95.75
6/22/15,96.4143,16681033,95.0428,96.6928,94.1885
6/19/15,93.8714,19756211,96.2428,96.4179,93.8214
6/18/15,94.7428,8959758,94.6514,95.3414,94.3685
6/17/15,94.2714,9889806,95.1328,95.1328,93.9574
6/16/15,95.2728,16009152,94.2428,95.6071,93.6914
6/15/15,93.4314,19035540,92.8571,93.5914,91.6585
6/12/15,94.4185,10267757,94.9157,95.3428,94.1243
6/11/15,95.0943,26597215,96.89,96.9185,94.0871
6/10/15,95.8714,57046958,93.3957,98.97,93.2257
6/9/15,92.45,21778624,89.3343,92.7143,89.3343
6/8/15,89.6043,11142365,90.7143,90.8157,88.9957
6/5/15,90.46,11607053,89.2143,90.54,89.1257
6/4/15,89.3485,9914551,88.3785,89.4285,88.0428
6/3/15,88.8085,6234097,89.2428,89.7328,88.6443
6/2/15,89.13,7525982,88.7114,89.6785,88.4057
6/1/15,89.0028,9920690,88.8371,89.1217,87.9443
5/29/15,89.1514,12708259,89.4728,90.2057,88.9557
5/28/15,89.5071,7812730,89.7143,89.8557,88.93
5/27/15,89.8571,10465941,88.1428,89.9071,87.9285
5/26/15,87.9928,9641509,88.8743,89.0613,87.7863
5/22/15,88.8385,7463780,89.1785,89.4071,88.6928
5/21/15,89.0028,12763006,89.0814,89.5714,88.1814
5/20/15,88.79,12748124,88.2143,89.1085,87.3628
5/19/15,88.0685,18210764,88.8885,89.7857,87.81
5/18/15,88.2671,14789870,87.5443,88.5341,87.0243
5/15/15,87.6071,36979303,86.3643,88.3484,85.7557
5/14/15,83.8357,8878026,83.2857,83.9243,82.33
5/13/15,82.8728,11146194,83.4043,84.1971,82.6914
5/12/15,83.3771,11897204,83.8085,83.8085,82.9928
5/11/15,84.2778,23873003,82.3243,84.8571,82.1857
5/8/15,82.0857,13817822,81.0414,82.1528,80.9643
5/7/15,80.7485,10198506,80.1143,80.7943,79.4571
5/6/15,80.0771,11499904,81.0285,81.2143,79.5214
5/5/15,80.7928,27099913,81.2385,82.4428,80.7571
5/4/15,79.2714,7957189,79.5714,79.7143,78.9
5/1/15,79.5757,8884704,79.8557,79.9671,78.8943
4/30/15,79.5,10557312,80.2371,80.8357,79.1243
4/29/15,80.4071,9539463,80.07,81.0557,79.6443
4/28/15,80.4371,8822950,80.59,81.2785,79.9443
4/27/15,80.8685,15238487,80.2928,81.7857,80.23
4/24/15,79.7707,11035482,80.1728,80.8085,79.5071
4/23/15,79.8657,12670487,79.6557,80.3428,78.9557
4/22/15,79.6685,12079505,80.2114,80.7128,79.5443
4/21/15,80.0628,15897047,81.2343,81.4843,79.8
4/20/15,81.0557,30731577,81.7857,82.3043,80.3814
4/17/15,81.65,58219864,79.7785,82.1428,79.7143
4/16/15,80.2928,104301571,76,81.25,75.7143
4/15/15,67.9228,40918099,68.7043,68.7043,67.364
4/14/15,68.3871,28565609,68.8571,69.1428,67.4214
4/13/15,67.8114,44265654,67.24,69.2857,67.0571
4/10/15,64.9386,22312052,64.3971,64.9957,63.9471
4/9/15,62.7857,13454116,63,63.1357,62.1143
4/8/15,63.05,22307453,61.2014,63.1071,61.1846
4/7/15,60.4943,9977299,60.4971,60.8486,60.0428
4/6/15,60.33,10709289,58.7686,60.4471,58.4643
4/2/15,59.1543,9841121,59.0714,59.6071,58.8614
4/1/15,59.0171,14633763,59.6428,59.7857,58.7028
3/31/15,59.5271,14243114,60.11,60.42,59.4557
3/30/15,60.3671,13261553,59.7157,60.5643,59.3643
3/27/15,59.2528,15824975,59.33,59.8471,58.5728
3/26/15,59.7514,16005477,59.6286,60.4471,59.39
3/25/15,60.25,21626471,62.6843,62.6914,60.2443
3/24/15,62.6114,16869746,61.1357,63.0986,61.1188
3/23/15,60.7143,7658688,60.89,61.1557,60.3301
